,precision,recall,f1-score,support
Weak,0.996937751004016,0.9986322173165311,0.9977842647627756,99431.0
Medium,0.9712448161256483,0.9963190924450881,0.9836221832786414,99432.0
Strong,0.99897617274758,0.9714880521361332,0.9850403817914831,99432.0
accuracy,0.9888130877151813,0.9888130877151813,0.9888130877151813,0.9888130877151813
macro avg,0.9890529132924147,0.9888131206325842,0.9888156099443001,298295.0
weighted avg,0.9890528868593949,0.9888130877151813,0.9888155798779067,298295.0
