,precision,recall,f1-score,support
Weak,0.9906137184115523,0.9937597503900156,0.9921842405362556,17948.0
Medium,0.9937531284412854,0.9983305173384825,0.9960365639517966,99432.0
Strong,0.9999379883418082,0.9689922480620154,0.9842219306009095,16641.0
accuracy,0.9940755553234195,0.9940755553234195,0.9940755553234195,0.9940755553234195
macro avg,0.9947682783982152,0.9870275052635046,0.9908142450296539,134021.0
weighted avg,0.9941006569807751,0.9940755553234195,0.9940536745967384,134021.0
